Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/.well-known/openid-configuration,124,0,54,67.77848928205428,43.00189018249512,258.0535411834717,3177.0,0.7013880224542529,0.0,54,57,60,63,80,200,210,220,260,260,260,260
GET,/.well-known/webfinger?resource=https%3A%2F%2Fphpoidc-lin.azurewebsites.net&rel=http%3A%2F%2Fopenid.net%2Fspecs%2Fconnect%2F1.0%2Fissuer,114,0,52,64.94426518155818,42.562007904052734,230.09276390075684,171.0,0.6448244722563293,0.0,52,56,58,59,66,200,220,230,230,230,230,230
GET,/index.php/auth?state=[state]&response_type=code&redirect_uri=[redirect_uri]&scope=openid profile email address phone&client_id=[client_id]&nonce=[nonce],305,0,300.0,323.65992890029656,260.9734535217285,1570.197582244873,2955.0,1.7251882810366703,0.0,300,310,310,320,380,450,500,920,1600,1600,1600,1600
POST,/index.php/login,305,0,360.0,382.30486697837955,197.9992389678955,1681.1797618865967,0.0,1.7251882810366703,0.0,360,370,380,390,470,670,790,1500,1700,1700,1700,1700
POST,/index.php/token,301,0,590.0,614.7369451301042,403.6374092102051,1394.1621780395508,867.0,1.702562860957501,0.0,590,610,630,640,880,900,980,1000,1400,1400,1400,1400
POST,/index.php/userinfo,301,0,170.0,181.38668386643116,138.0000114440918,859.0667247772217,392.0,1.702562860957501,0.0,170,170,180,180,200,220,240,770,860,860,860,860
POST,/index.php/validatetoken,301,0,170.0,192.49033056620348,140.99740982055664,1585.2203369140625,37.0,1.702562860957501,0.0,170,180,190,190,210,230,370,780,1600,1600,1600,1600
,Aggregated,1751,0,270.0,301.94188662081837,42.562007904052734,1681.1797618865967,973.6225014277555,9.904277639656426,0.0,270,320,370,450,600,650,890,980,1600,1700,1700,1700
