Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/.well-known/openid-configuration,102,0,890.0,1385.694057333703,42.9995059967041,7767.877817153931,3177.0,0.42337890052917576,0.0,890,1300,1700,2000,4300,5000,7400,7400,7800,7800,7800,7800
GET,/.well-known/webfinger?resource=https%3A%2F%2Fphpoidc-dev.azurewebsites.net&rel=http%3A%2F%2Fopenid.net%2Fspecs%2Fconnect%2F1.0%2Fissuer,99,0,560.0,1180.731809500492,41.970252990722656,8341.40920639038,171.0,0.41092657992537646,0.0,560,1300,1700,2100,3300,4600,7300,8300,8300,8300,8300,8300
GET,/index.php/auth?state=[state]&response_type=code&redirect_uri=[redirect_uri]&scope=openid profile email address phone&client_id=[client_id]&nonce=[nonce],325,0,2300.0,3031.1515125861533,220.00455856323242,10890.489339828491,2910.0,1.3490013987449228,0.0,2300,3200,4200,4900,7100,8400,9200,10000,11000,11000,11000,11000
POST,/index.php/login,323,0,2600.0,2723.9809228170766,204.9851417541504,10572.129726409912,0.0,1.3406998516757234,0.0,2600,3100,3400,3800,4800,5600,7400,9800,11000,11000,11000,11000
POST,/index.php/token,320,0,3100.0,3292.1889163553715,410.9978675842285,12197.810173034668,867.0,1.328247531071924,0.0,3100,3400,4000,4000,5900,9300,11000,11000,12000,12000,12000,12000
POST,/index.php/userinfo,309,0,2700.0,3110.744622147199,122.00593948364258,13041.293382644653,601.0,1.2825890221913265,0.0,2700,3100,3600,4500,6300,10000,13000,13000,13000,13000,13000,13000
POST,/index.php/validatetoken,314,0,2200.0,2750.678940943092,133.9714527130127,10960.293769836426,37.0,1.3033428898643253,0.0,2200,2700,3100,3600,7400,8400,9500,9600,11000,11000,11000,11000
,Aggregated,1792,0,2400.0,2791.092104677643,41.970252990722656,13041.293382644653,982.9799107142857,7.438186174002774,0.0,2400,3100,3500,4000,5600,8000,10000,11000,13000,13000,13000,13000
