Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/.well-known/openid-configuration,87,0,73,133.84441945744658,43.03884506225586,667.5589084625244,3177.0,0.5349524100320923,0.0,73,96,150,210,320,490,560,670,670,670,670,670
GET,/.well-known/webfinger?resource=https%3A%2F%2Fphpoidc-lin.azurewebsites.net&rel=http%3A%2F%2Fopenid.net%2Fspecs%2Fconnect%2F1.0%2Fissuer,79,0,63,108.82811003093478,41.9619083404541,550.006628036499,171.0,0.4857613838222447,0.0,63,70,120,190,260,340,440,550,550,550,550,550
GET,/index.php/auth?state=[state]&response_type=code&redirect_uri=[redirect_uri]&scope=openid profile email address phone&client_id=[client_id]&nonce=[nonce],250,0,3000.0,3041.872042655945,238.99555206298828,8194.807767868042,2955.0,1.5372195690577364,0.0,3000,4300,4900,5600,6300,6800,7200,7400,8200,8200,8200,8200
POST,/index.php/login,248,0,1000.0,1184.832288372901,204.99730110168457,3279.804229736328,0.0,1.5249218125052746,0.0,1100,1500,1800,1900,2200,2400,2800,2900,3300,3300,3300,3300
POST,/index.php/token,245,0,1400.0,1561.1450594298694,465.7142162322998,4160.65239906311,867.0,1.5064751776765817,0.0,1400,1900,2200,2400,2700,3200,3700,3900,4200,4200,4200,4200
POST,/index.php/userinfo,239,0,950.0,993.0273888001382,143.99480819702148,3102.1926403045654,392.0,1.469581908019196,0.0,950,1300,1500,1600,1900,2200,2500,2700,3100,3100,3100,3100
POST,/index.php/validatetoken,241,0,910.0,1036.8001134563779,150.97498893737793,4004.0841102600098,37.0,1.4818796645716579,0.0,910,1300,1600,1700,2100,2400,2800,3100,4000,4000,4000,4000
,Aggregated,1389,0,960.0,1399.734496898665,41.9619083404541,8194.807767868042,967.370770338373,8.540791925684783,0.0,960,1500,1900,2100,3100,4700,6200,6800,7700,8200,8200,8200
