Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/.well-known/openid-configuration,43,0,10000.0,10672.481126563494,77.02827453613281,25501.368761062622,3177.0,0.25957928834071237,0.0,10000,12000,17000,19000,22000,22000,26000,26000,26000,26000,26000,26000
GET,/.well-known/webfinger?resource=https%3A%2F%2Fphpoidc-dev.azurewebsites.net&rel=http%3A%2F%2Fopenid.net%2Fspecs%2Fconnect%2F1.0%2Fissuer,42,0,9600.0,9722.28653658004,82.02815055847168,25340.484619140625,171.0,0.25354256070488185,0.0,10000,12000,17000,17000,18000,22000,25000,25000,25000,25000,25000,25000
GET,/index.php/auth?state=[state]&response_type=code&redirect_uri=[redirect_uri]&scope=openid profile email address phone&client_id=[client_id]&nonce=[nonce],106,0,36000.0,32985.14854008297,6446.361303329468,58820.345401763916,2910.0,0.6398931293980352,0.0,36000,40000,44000,45000,51000,55000,56000,58000,59000,59000,59000,59000
POST,/index.php/login,89,0,13000.0,12385.928638865438,464.53380584716797,27542.733907699585,0.0,0.5372687595889163,0.0,13000,15000,16000,19000,23000,25000,27000,28000,28000,28000,28000,28000
POST,/index.php/token,79,0,13000.0,13724.8293176482,756.0360431671143,28085.710048675537,867.0,0.4769014832306111,0.0,13000,22000,23000,25000,28000,28000,28000,28000,28000,28000,28000,28000
POST,/index.php/userinfo,55,0,4400.0,11406.288068944757,265.0265693664551,28195.223569869995,601.0,0.33202001997067865,0.0,4400,18000,22000,26000,27000,27000,27000,28000,28000,28000,28000,28000
POST,/index.php/validatetoken,61,0,11000.0,10391.105452521902,323.07958602905273,27413.98549079895,37.0,0.36824038578566176,0.0,11000,16000,19000,20000,22000,24000,27000,27000,27000,27000,27000,27000
,Aggregated,475,0,14000.0,16445.244020160877,77.02827453613281,58820.345401763916,1170.6484210526316,2.8674456270194972,0.0,14000,20000,23000,27000,38000,45000,52000,56000,59000,59000,59000,59000
