Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/.well-known/openid-configuration,91,0,250.0,276.39305460584035,77.99983024597168,701.2965679168701,3177.0,0.7927167262618415,0.0,250,330,380,430,510,570,700,700,700,700,700,700
GET,/.well-known/webfinger?resource=https%3A%2F%2Fphpoidc-lin.azurewebsites.net&rel=http%3A%2F%2Fopenid.net%2Fspecs%2Fconnect%2F1.0%2Fissuer,88,0,230.0,251.3565854592757,76.13301277160645,612.9968166351318,171.0,0.766583207813649,0.0,240,300,360,380,450,520,590,610,610,610,610,610
GET,/index.php/auth?state=[state]&response_type=code&redirect_uri=[redirect_uri]&scope=openid profile email address phone&client_id=[client_id]&nonce=[nonce],259,0,1300.0,1416.2753852638039,417.68598556518555,3727.7824878692627,2955.0,2.2561937593606256,0.0,1300,1800,2100,2200,2500,2900,3200,3500,3700,3700,3700,3700
POST,/index.php/login,253,0,1200.0,1323.2677670806763,386.9802951812744,3169.9013710021973,0.0,2.2039267224642405,0.0,1200,1700,1900,2000,2300,2500,2700,3000,3200,3200,3200,3200
POST,/index.php/token,245,0,1400.0,1622.701107725805,577.9976844787598,3630.7718753814697,867.0,2.1342373399357273,0.0,1400,2000,2300,2400,2900,3100,3300,3500,3600,3600,3600,3600
POST,/index.php/userinfo,239,0,940.0,1181.0522518397374,304.0041923522949,3181.393623352051,392.0,2.081970303039342,0.0,940,1500,1800,2000,2300,2600,2700,3000,3200,3200,3200,3200
POST,/index.php/validatetoken,244,0,970.0,1183.375599931498,327.99506187438965,3033.3902835845947,37.0,2.125526167119663,0.0,980,1500,1800,2000,2200,2500,2700,2800,3000,3000,3000,3000
,Aggregated,1419,0,970.0,1210.3242588513665,76.13301277160645,3727.7824878692627,975.7794221282593,12.361154225995088,0.0,970,1500,1900,2000,2400,2700,3000,3200,3600,3700,3700,3700
